height,utc_time,bits,hex_bits,exponent,coefficient,target,bin_target,computational_complexity,hash_rate_tera
405046,2016-03-30 22:38:31,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405047,2016-03-30 22:51:03,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405048,2016-03-30 23:05:11,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405049,2016-03-30 23:16:24,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405050,2016-03-30 23:23:01,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405051,2016-03-30 23:33:41,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405052,2016-03-30 23:44:54,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405053,2016-03-30 23:47:55,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405054,2016-03-30 23:49:15,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405055,2016-03-31 00:06:30,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405056,2016-03-31 00:13:10,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405057,2016-03-31 00:21:17,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405058,2016-03-31 00:32:46,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405059,2016-03-31 01:14:55,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405060,2016-03-31 01:17:10,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405061,2016-03-31 01:18:24,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405062,2016-03-31 01:23:55,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405063,2016-03-31 01:27:40,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405064,2016-03-31 01:40:33,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405065,2016-03-31 02:05:03,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405066,2016-03-31 02:14:09,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405067,2016-03-31 02:34:56,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405068,2016-03-31 02:53:12,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405069,2016-03-31 02:56:07,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405070,2016-03-31 03:16:27,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405071,2016-03-31 03:24:52,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405072,2016-03-31 03:29:12,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405073,2016-03-31 03:43:50,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405074,2016-03-31 03:59:49,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405075,2016-03-31 04:14:36,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405076,2016-03-31 04:36:52,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
