hash,ver,prev_block,mrkl_root,time,bits,fee,nonce,n_tx,size,block_index,main_chain,height
00000000000000000038ab39d2f00850e6635a370d8aa5cb97b7856b90eebf32,4,00000000000000000620fab409d87d21bb940aed5d1d516e1e014aa579757da1,0d45f37b13fed1171ad1c7b1efe28e7ba71b2e8cea8e26a94aee505f1f1b80d2,1462468543,403056502,70941838,1287459521,2997,998201,1133606,TRUE,410373
0000000000000000039e0737fb5a1bfc11a05e00dfe35f96ac0e93ded873bc0e,4,00000000000000000038ab39d2f00850e6635a370d8aa5cb97b7856b90eebf32,d0a7849884f71b20534369eee6d30419da8cf2ba488b9c478ab8a900cc2e7987,1462469424,403056502,49860469,1537155225,2750,999938,1133607,TRUE,410374
000000000000000006180b6ce488ca2a779ed6ee460363489a04716f5f371c23,536870912,0000000000000000039e0737fb5a1bfc11a05e00dfe35f96ac0e93ded873bc0e,89ee8bc0f7ed0d4fefa3783b901f7609f5043560237a8ae9571691055f8b2126,1462470321,403056502,43503060,710064697,2247,749070,1133608,TRUE,410375
0000000000000000025bb8b4f202a9e041bc7ab906b8978a5debb4a386cab62f,4,000000000000000006180b6ce488ca2a779ed6ee460363489a04716f5f371c23,53682fc0f02925ac7dfbfddfd96a32e619cce4d652c99c9f07bbc2e838221889,1462470548,403056502,28700630,4077966934,1717,999707,1133609,TRUE,410376
000000000000000005a74e4d4f02dbb23438ae57c6aa72d813250ebf0495a7b7,536870912,0000000000000000025bb8b4f202a9e041bc7ab906b8978a5debb4a386cab62f,e63ff0d65b5bba1f6e4504fc76dff875b6862ea468b043d7426b874348e3409d,1462470597,403056502,22335738,495466577,974,989238,1133610,TRUE,410377
0000000000000000053cf3a2f3ec04bd8c4aee6c1976f767c83a5579bf21ce49,536870912,000000000000000005a74e4d4f02dbb23438ae57c6aa72d813250ebf0495a7b7,05e755d89c61c0467cb3091e0feef51996fe6a74f9fdf3550d1ed5c52e613cfc,1462471296,403056502,42934815,797087511,2071,989205,1133611,TRUE,410378
00000000000000000245f082ce9feec4ec22eaa02b13010f34592471b77fa081,4,0000000000000000053cf3a2f3ec04bd8c4aee6c1976f767c83a5579bf21ce49,96803ecfb760e16699329a9293a8a0185267ff36b6d7a84efb051359b78dae82,1462473851,403056502,152137889,564600361,1016,999925,1133612,TRUE,410379
0000000000000000011233e6d26c248cd0d68fbfd21a5e968eccc72ab4eaf516,4,00000000000000000245f082ce9feec4ec22eaa02b13010f34592471b77fa081,4d17310072ab353a98bfd7b7e05f9b091278ae23fc6a3b818b81dc93b49d937f,1462474025,403056502,53850765,2251476808,3090,998203,1133613,TRUE,410380
000000000000000005083f825eb64b716457ddf079c06c2109a4b9598bb496ea,536870912,0000000000000000011233e6d26c248cd0d68fbfd21a5e968eccc72ab4eaf516,1817031d0b24ae7d9405e87c89440f90c1d0fbf576d77654a5508a2506776cc9,1462474276,403056502,35101126,2843032648,2254,998090,1133614,TRUE,410381
000000000000000005bddadbd910dd04daffce77620188399069bcecf6049891,536870912,000000000000000005083f825eb64b716457ddf079c06c2109a4b9598bb496ea,ca23fd77ac8b8d1855597c7f5ba3dd7b2d08af543e15e5cf5bbdc1af11a054a8,1462474350,403056502,20550303,2369295058,1222,998124,1133615,TRUE,410382
